institute_std,subscription_start_month,class_bundle_signature,class_count,learner_count,core_subject_count,bundle_confidence
ABOKOBI AREA RURAL BANK LTD.,2025-08,356,1,77,1,LOW
ABOKOBI AREA RURAL BANK LTD.,2025-08,356|520,2,1,2,LOW
ABOKOBI AREA RURAL BANK LTD.,2025-08,520,1,1,1,LOW
ABOKOBI AREA RURAL BANK LTD.,2025-11,520,1,75,1,LOW
ABOKOBI AREA RURAL BANK LTD.,2025-12,601,1,1,1,LOW
ABOKOBI AREA RURAL BANK LTD.,2026-04,520,1,25,1,LOW
ABOKOBI AREA RURAL BANK LTD.,2026-06,580,1,67,1,LOW
ABOKOBI AREA RURAL BANK LTD.,,267,1,1,1,LOW
ABOKOBI AREA RURAL BANK LTD.,,356,1,2,1,LOW
ABOKOBI AREA RURAL BANK LTD.,,356|525,2,1,2,LOW
ABOKOBI AREA RURAL BANK LTD.,,520,1,5,1,LOW
ABOKOBI AREA RURAL BANK LTD.,,522,1,1,1,LOW
ABOKOBI AREA RURAL BANK LTD.,,522|525|530,3,1,3,LOW
ABOKOBI AREA RURAL BANK LTD.,,522|531,2,1,2,LOW
ABOKOBI AREA RURAL BANK LTD.,,524|528,2,1,2,LOW
ABOKOBI AREA RURAL BANK LTD.,,526|528|534,3,1,3,LOW
ABOKOBI AREA RURAL BANK LTD.,,531,1,3,1,LOW
ABURI GIRLS,,259,1,1,1,LOW
ABUTIA AGOVE JHS,2024-04,253|255|256|257|273|274|351,7,1,4,LOW
ABUTIA AGOVE JHS,2024-05,254,1,1,1,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255,3,1,3,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255|256,4,1,4,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255|256|257|259|260|261|274|353|354,11,1,4,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255|256|257|260|263|273|274|327|329|353|354,13,1,4,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255|256|257|273|274|353|354,9,1,4,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255|256|257|274,6,1,4,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255|256|257|274|353,7,2,4,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255|256|257|274|353|354,8,1,4,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255|256|257|353,6,1,4,LOW
ABUTIA TETI EP JHS,2024-04,253|254|255|256|274|353,6,1,4,LOW
ABUTIA TETI EP JHS,2024-04,253|255|259,3,1,3,LOW
ABUTIA TETI EP JHS,2024-04,259|260|261,3,1,3,LOW
ABUTIA TETI EP JHS,,256|259,2,1,2,LOW
ABUTIA TETI EP JHS,,259,1,1,1,LOW
ABUTIA TETI EP JHS,,262,1,2,1,LOW
ABUTIA TETI EP JHS,,292,1,1,1,LOW
ACCE,,13,1,1,1,LOW
ACCRA GIRL'S SHS,,262,1,1,1,LOW
ACELLUS ACDEMY,2020-03,259|262,2,1,2,LOW
ACELLUS ACDEMY,2020-04,262,1,1,1,LOW
ADA RURAL BANK LTD.,2023-08,520,1,1,1,LOW
ADA RURAL BANK LTD.,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,30,4,MEDIUM
ADA RURAL BANK LTD.,2025-05,520,1,8,1,LOW
ADA RURAL BANK LTD.,2025-08,339|404,2,1,2,LOW
ADA RURAL BANK LTD.,2025-10,520|521|522|527|528|531|534,7,1,4,LOW
ADA RURAL BANK LTD.,2025-10,520|522|524|528|531|534,6,1,4,LOW
ADA RURAL BANK LTD.,2025-10,527,1,1,1,LOW
ADA RURAL BANK LTD.,2025-11,520,1,15,1,LOW
