institute_std,subscription_start_month,class_bundle_signature,class_count,learner_count,core_subject_count,bundle_confidence
GENERIC_UNKNOWN,2023-01,329,1,1,1,LOW
GENERIC_UNKNOWN,2023-02,343|344,2,1,2,LOW
GENERIC_UNKNOWN,2023-02,351,1,1,1,LOW
GENERIC_UNKNOWN,2023-05,255,1,1,1,LOW
GENERIC_UNKNOWN,2023-06,373,1,2,1,LOW
GENERIC_UNKNOWN,2023-07,260|373,2,1,2,LOW
GENERIC_UNKNOWN,2023-08,259,1,1,1,LOW
GENERIC_UNKNOWN,2023-08,259|260|262|373,4,1,4,LOW
GENERIC_UNKNOWN,2023-08,391,1,2,1,LOW
GENERIC_UNKNOWN,2023-09,253|256|274,3,1,3,LOW
GENERIC_UNKNOWN,2023-09,339,1,1,1,LOW
GENERIC_UNKNOWN,2023-10,256|259|262,3,1,3,LOW
GENERIC_UNKNOWN,2023-10,262,1,1,1,LOW
GENERIC_UNKNOWN,2023-10,327|329,2,1,2,LOW
GENERIC_UNKNOWN,2023-12,339,1,1,1,LOW
GENERIC_UNKNOWN,2023-12,340,1,1,1,LOW
GENERIC_UNKNOWN,2024-04,253|254|255|256|257|259|273|274,8,1,4,LOW
GENERIC_UNKNOWN,2024-05,259,1,1,1,LOW
GENERIC_UNKNOWN,2024-06,255,1,1,1,LOW
GENERIC_UNKNOWN,2024-06,373,1,1,1,LOW
GENERIC_UNKNOWN,2024-08,259,1,1,1,LOW
GENERIC_UNKNOWN,2024-08,259|340,2,1,2,LOW
GENERIC_UNKNOWN,2024-08,261,1,1,1,LOW
GENERIC_UNKNOWN,2024-09,258,1,1,1,LOW
GENERIC_UNKNOWN,2024-09,339,1,1,1,LOW
GENERIC_UNKNOWN,2024-10,259,1,1,1,LOW
GENERIC_UNKNOWN,2024-10,261,1,1,1,LOW
GENERIC_UNKNOWN,2024-11,259|260,2,1,2,LOW
GENERIC_UNKNOWN,2025-06,253,1,1,1,LOW
GENERIC_UNKNOWN,2025-08,253|257|274,3,1,3,LOW
GENERIC_UNKNOWN,2025-10,253,1,1,1,LOW
GENERIC_UNKNOWN,2025-10,339,1,1,1,LOW
GENERIC_UNKNOWN,2025-10,596|597|598|599,4,12,4,LOW
GENERIC_UNKNOWN,2025-11,520,1,1,1,LOW
GENERIC_UNKNOWN,2026-02,599,1,1,1,LOW
GENERIC_UNKNOWN,,11|259|261|262,4,1,4,LOW
GENERIC_UNKNOWN,,12|25,2,1,2,LOW
GENERIC_UNKNOWN,,12|253|256|259|274,5,1,4,LOW
GENERIC_UNKNOWN,,173|253,2,1,2,LOW
GENERIC_UNKNOWN,,173|255|277|289|5,5,1,4,LOW
GENERIC_UNKNOWN,,173|259|260|262|288,5,1,4,LOW
GENERIC_UNKNOWN,,173|259|261|262|292,5,1,4,LOW
GENERIC_UNKNOWN,,173|261|262|263|277|7,6,1,4,LOW
GENERIC_UNKNOWN,,178,1,1,1,LOW
GENERIC_UNKNOWN,,178|25|258|259|262|373,6,1,4,LOW
GENERIC_UNKNOWN,,178|262,2,1,2,LOW
GENERIC_UNKNOWN,,218|224|251|254|256|259|260|261|262|267|271|289|291|360,14,1,4,LOW
GENERIC_UNKNOWN,,218|23|251|255|257|259|260|262|292|331|336,11,1,4,LOW
GENERIC_UNKNOWN,,218|254|255|267|274|336,6,1,4,LOW
GENERIC_UNKNOWN,,218|259|261|262,4,1,4,LOW
GENERIC_UNKNOWN,,218|25|258|259,4,1,4,LOW
GENERIC_UNKNOWN,,218|582,2,1,2,LOW
GENERIC_UNKNOWN,,219,1,1,1,LOW
GENERIC_UNKNOWN,,219|224|256|292|347|352|599,7,1,4,LOW
GENERIC_UNKNOWN,,219|258|262|263,4,1,4,LOW
GENERIC_UNKNOWN,,219|265|348|550,4,1,4,LOW
GENERIC_UNKNOWN,,219|288|316|348,4,1,4,LOW
GENERIC_UNKNOWN,,220|224|288|353|434,5,1,4,LOW
GENERIC_UNKNOWN,,220|552,2,1,2,LOW
GENERIC_UNKNOWN,,224,1,2,1,LOW
GENERIC_UNKNOWN,,224|251|336,3,1,3,LOW
GENERIC_UNKNOWN,,224|257|259|260|261|262|263|373|6,9,1,4,LOW
GENERIC_UNKNOWN,,224|258|373,3,1,3,LOW
GENERIC_UNKNOWN,,224|259|262,3,1,3,LOW
GENERIC_UNKNOWN,,224|25|251|259|260|262|267|292|336,9,1,4,LOW
GENERIC_UNKNOWN,,224|260,2,1,2,LOW
GENERIC_UNKNOWN,,224|261,2,1,2,LOW
GENERIC_UNKNOWN,,224|327,2,1,2,LOW
GENERIC_UNKNOWN,,225,1,2,1,LOW
GENERIC_UNKNOWN,,225|259,2,1,2,LOW
GENERIC_UNKNOWN,,225|261|263,3,1,3,LOW
GENERIC_UNKNOWN,,230|259|391,3,1,3,LOW
GENERIC_UNKNOWN,,237|25|255|260|262|267|332|336|339|347|7,11,1,4,LOW
GENERIC_UNKNOWN,,237|25|259|271|316|349|360|431|434,9,1,4,LOW
GENERIC_UNKNOWN,,237|316,2,1,2,LOW
GENERIC_UNKNOWN,,25,1,10,1,LOW
GENERIC_UNKNOWN,,250|255|259|260|320|336|339,7,1,4,LOW
GENERIC_UNKNOWN,,251,1,3,1,LOW
GENERIC_UNKNOWN,,251|255|259,3,1,3,LOW
GENERIC_UNKNOWN,,251|258|259|267|289|426|582,7,1,4,LOW
GENERIC_UNKNOWN,,251|258|262|292|329|543,6,1,4,LOW
GENERIC_UNKNOWN,,251|259|267|289|373,5,1,4,LOW
GENERIC_UNKNOWN,,251|259|336,3,1,3,LOW
GENERIC_UNKNOWN,,251|292|336,3,1,3,LOW
GENERIC_UNKNOWN,,251|362|426|597,4,1,4,LOW
GENERIC_UNKNOWN,,253,1,21,1,LOW
GENERIC_UNKNOWN,,253|254|255|256|257|273|274|353,8,1,4,LOW
GENERIC_UNKNOWN,,253|254|256,3,1,3,LOW
GENERIC_UNKNOWN,,253|254|256|258,4,1,4,LOW
GENERIC_UNKNOWN,,253|255,2,1,2,LOW
GENERIC_UNKNOWN,,253|255|261,3,1,3,LOW
GENERIC_UNKNOWN,,253|256,2,2,2,LOW
GENERIC_UNKNOWN,,253|258,2,2,2,LOW
GENERIC_UNKNOWN,,253|258|259|262,4,1,4,LOW
GENERIC_UNKNOWN,,253|258|262,3,1,3,LOW
GENERIC_UNKNOWN,,253|259,2,2,2,LOW
GENERIC_UNKNOWN,,253|262,2,1,2,LOW
GENERIC_UNKNOWN,,253|5,2,1,2,LOW
GENERIC_UNKNOWN,,254,1,6,1,LOW
GENERIC_UNKNOWN,,254|255,2,1,2,LOW
GENERIC_UNKNOWN,,254|255|260|373,4,1,4,LOW
GENERIC_UNKNOWN,,254|257,2,1,2,LOW
GENERIC_UNKNOWN,,254|259,2,1,2,LOW
GENERIC_UNKNOWN,,254|259|262,3,1,3,LOW
GENERIC_UNKNOWN,,254|260|261|5,4,1,4,LOW
GENERIC_UNKNOWN,,254|261,2,1,2,LOW
GENERIC_UNKNOWN,,254|261|289|426,4,1,4,LOW
GENERIC_UNKNOWN,,255,1,15,1,LOW
GENERIC_UNKNOWN,,255|256,2,1,2,LOW
GENERIC_UNKNOWN,,255|258|259|260|261|263|329,7,1,4,LOW
GENERIC_UNKNOWN,,255|258|260|261|263|329|373,7,1,4,LOW
GENERIC_UNKNOWN,,255|259,2,1,2,LOW
GENERIC_UNKNOWN,,255|259|261,3,1,3,LOW
GENERIC_UNKNOWN,,255|259|261|262|263|336,6,1,4,LOW
GENERIC_UNKNOWN,,255|259|261|373,4,1,4,LOW
GENERIC_UNKNOWN,,255|259|354,3,1,3,LOW
GENERIC_UNKNOWN,,255|260|373,3,1,3,LOW
GENERIC_UNKNOWN,,255|261,2,1,2,LOW
GENERIC_UNKNOWN,,255|262,2,2,2,LOW
GENERIC_UNKNOWN,,255|292,2,1,2,LOW
GENERIC_UNKNOWN,,256,1,8,1,LOW
GENERIC_UNKNOWN,,256|258|259|262|426,5,1,4,LOW
GENERIC_UNKNOWN,,256|259|262,3,1,3,LOW
GENERIC_UNKNOWN,,256|261|262,3,1,3,LOW
GENERIC_UNKNOWN,,256|262,2,1,2,LOW
GENERIC_UNKNOWN,,256|395,2,1,2,LOW
GENERIC_UNKNOWN,,257,1,2,1,LOW
GENERIC_UNKNOWN,,257|292,2,1,2,LOW
GENERIC_UNKNOWN,,257|354,2,1,2,LOW
GENERIC_UNKNOWN,,257|360,2,1,2,LOW
GENERIC_UNKNOWN,,258,1,132,1,LOW
GENERIC_UNKNOWN,,258|259,2,21,2,LOW
GENERIC_UNKNOWN,,258|259|260|261|262|263|329,7,2,4,LOW
GENERIC_UNKNOWN,,258|259|260|261|262|288|373|395,8,1,4,LOW
GENERIC_UNKNOWN,,258|259|260|261|262|289|373,7,3,4,LOW
GENERIC_UNKNOWN,,258|259|260|262,4,1,4,LOW
GENERIC_UNKNOWN,,258|259|260|373,4,1,4,LOW
GENERIC_UNKNOWN,,258|259|261,3,3,3,LOW
GENERIC_UNKNOWN,,258|259|262,3,12,3,LOW
GENERIC_UNKNOWN,,258|259|262|263|289,5,1,4,LOW
GENERIC_UNKNOWN,,258|259|262|263|329,5,1,4,LOW
GENERIC_UNKNOWN,,258|259|262|288,4,1,4,LOW
GENERIC_UNKNOWN,,258|259|262|329,4,1,4,LOW
GENERIC_UNKNOWN,,258|259|263,3,3,3,LOW
GENERIC_UNKNOWN,,258|259|267|289,4,1,4,LOW
GENERIC_UNKNOWN,,258|259|289,3,1,3,LOW
GENERIC_UNKNOWN,,258|259|329,3,1,3,LOW
GENERIC_UNKNOWN,,258|260,2,1,2,LOW
GENERIC_UNKNOWN,,258|261,2,3,2,LOW
GENERIC_UNKNOWN,,258|261|263,3,1,3,LOW
GENERIC_UNKNOWN,,258|262,2,18,2,LOW
GENERIC_UNKNOWN,,258|262|267|277|329,5,1,4,LOW
GENERIC_UNKNOWN,,258|262|329,3,1,3,LOW
GENERIC_UNKNOWN,,258|262|7,3,1,3,LOW
GENERIC_UNKNOWN,,258|263,2,4,2,LOW
GENERIC_UNKNOWN,,258|263|277,3,2,3,LOW
GENERIC_UNKNOWN,,258|263|329,3,1,3,LOW
GENERIC_UNKNOWN,,258|267,2,1,2,LOW
GENERIC_UNKNOWN,,258|267|360|373|426,5,1,4,LOW
GENERIC_UNKNOWN,,258|277,2,1,2,LOW
GENERIC_UNKNOWN,,258|289,2,1,2,LOW
GENERIC_UNKNOWN,,258|329,2,1,2,LOW
GENERIC_UNKNOWN,,258|373,2,1,2,LOW
GENERIC_UNKNOWN,,258|395,2,1,2,LOW
GENERIC_UNKNOWN,,258|426,2,1,2,LOW
GENERIC_UNKNOWN,,259,1,324,1,LOW
GENERIC_UNKNOWN,,259|260,2,9,2,LOW
GENERIC_UNKNOWN,,259|260|261,3,1,3,LOW
GENERIC_UNKNOWN,,259|260|261|262,4,3,4,LOW
GENERIC_UNKNOWN,,259|260|261|262|263,5,2,4,LOW
GENERIC_UNKNOWN,,259|260|261|262|267|271|293|297|329|360,10,1,4,LOW
GENERIC_UNKNOWN,,259|260|261|262|289|292|332|360,8,1,4,LOW
GENERIC_UNKNOWN,,259|260|261|262|289|373|5,7,1,4,LOW
GENERIC_UNKNOWN,,259|260|261|262|291,5,1,4,LOW
GENERIC_UNKNOWN,,259|260|261|263,4,1,4,LOW
GENERIC_UNKNOWN,,259|260|261|263|273|291,6,1,4,LOW
GENERIC_UNKNOWN,,259|260|261|289,4,1,4,LOW
GENERIC_UNKNOWN,,259|260|262,3,3,3,LOW
GENERIC_UNKNOWN,,259|260|262|267|289|373,6,1,4,LOW
GENERIC_UNKNOWN,,259|260|263,3,1,3,LOW
GENERIC_UNKNOWN,,259|260|289|332|373|5,6,1,4,LOW
GENERIC_UNKNOWN,,259|260|373,3,1,3,LOW
GENERIC_UNKNOWN,,259|261,2,8,2,LOW
GENERIC_UNKNOWN,,259|261|262,3,7,3,LOW
GENERIC_UNKNOWN,,259|261|262|263|269|292,6,1,4,LOW
GENERIC_UNKNOWN,,259|261|262|289|373,5,1,4,LOW
GENERIC_UNKNOWN,,259|261|262|599,4,1,4,LOW
GENERIC_UNKNOWN,,259|261|263,3,2,3,LOW
GENERIC_UNKNOWN,,259|261|336,3,1,3,LOW
GENERIC_UNKNOWN,,259|261|373,3,1,3,LOW
GENERIC_UNKNOWN,,259|262,2,55,2,LOW
GENERIC_UNKNOWN,,259|262|263,3,4,3,LOW
GENERIC_UNKNOWN,,259|262|263|267,4,1,4,LOW
GENERIC_UNKNOWN,,259|262|263|329,4,1,4,LOW
GENERIC_UNKNOWN,,259|262|267,3,2,3,LOW
GENERIC_UNKNOWN,,259|262|288,3,1,3,LOW
GENERIC_UNKNOWN,,259|262|289,3,2,3,LOW
GENERIC_UNKNOWN,,259|262|292,3,1,3,LOW
GENERIC_UNKNOWN,,259|262|316,3,1,3,LOW
GENERIC_UNKNOWN,,259|262|332,3,1,3,LOW
GENERIC_UNKNOWN,,259|262|357|358|359|362|363|364|365|366|367|368|393|394,14,1,4,LOW
GENERIC_UNKNOWN,,259|262|409,3,1,3,LOW
GENERIC_UNKNOWN,,259|262|5,3,1,3,LOW
GENERIC_UNKNOWN,,259|262|582,3,1,3,LOW
GENERIC_UNKNOWN,,259|262|625,3,1,3,LOW
GENERIC_UNKNOWN,,259|263,2,20,2,LOW
GENERIC_UNKNOWN,,259|263|277,3,1,3,LOW
GENERIC_UNKNOWN,,259|263|289,3,1,3,LOW
GENERIC_UNKNOWN,,259|263|329,3,1,3,LOW
GENERIC_UNKNOWN,,259|263|352|550,4,1,4,LOW
GENERIC_UNKNOWN,,259|263|395,3,1,3,LOW
GENERIC_UNKNOWN,,259|267,2,1,2,LOW
GENERIC_UNKNOWN,,259|271,2,1,2,LOW
GENERIC_UNKNOWN,,259|289,2,4,2,LOW
GENERIC_UNKNOWN,,259|289|360,3,1,3,LOW
GENERIC_UNKNOWN,,259|289|360|373,4,1,4,LOW
GENERIC_UNKNOWN,,259|289|5,3,1,3,LOW
GENERIC_UNKNOWN,,259|291,2,1,2,LOW
GENERIC_UNKNOWN,,259|316|336,3,1,3,LOW
GENERIC_UNKNOWN,,259|327,2,1,2,LOW
GENERIC_UNKNOWN,,259|329,2,2,2,LOW
GENERIC_UNKNOWN,,259|336,2,1,2,LOW
GENERIC_UNKNOWN,,259|340,2,1,2,LOW
GENERIC_UNKNOWN,,259|347,2,1,2,LOW
GENERIC_UNKNOWN,,259|348,2,1,2,LOW
GENERIC_UNKNOWN,,259|348|535,3,1,3,LOW
GENERIC_UNKNOWN,,259|360,2,1,2,LOW
GENERIC_UNKNOWN,,259|360|633,3,1,3,LOW
GENERIC_UNKNOWN,,259|373,2,4,2,LOW
GENERIC_UNKNOWN,,259|395,2,1,2,LOW
GENERIC_UNKNOWN,,259|426,2,2,2,LOW
GENERIC_UNKNOWN,,259|5,2,3,2,LOW
GENERIC_UNKNOWN,,259|596,2,1,2,LOW
GENERIC_UNKNOWN,,25|256|258|259|260|262|263|329,8,1,4,LOW
GENERIC_UNKNOWN,,25|257|259|535|582|584,6,1,4,LOW
GENERIC_UNKNOWN,,25|258,2,1,2,LOW
GENERIC_UNKNOWN,,25|258|259,3,2,3,LOW
GENERIC_UNKNOWN,,25|258|292|329,4,1,4,LOW
GENERIC_UNKNOWN,,25|258|336,3,1,3,LOW
GENERIC_UNKNOWN,,25|258|373,3,1,3,LOW
GENERIC_UNKNOWN,,25|258|5,3,1,3,LOW
GENERIC_UNKNOWN,,25|259,2,5,2,LOW
GENERIC_UNKNOWN,,25|259|260|373,4,1,4,LOW
GENERIC_UNKNOWN,,25|259|261|262|373,5,1,4,LOW
GENERIC_UNKNOWN,,25|259|262,3,1,3,LOW
GENERIC_UNKNOWN,,25|259|262|289|373,5,1,4,LOW
GENERIC_UNKNOWN,,25|259|262|373,4,1,4,LOW
GENERIC_UNKNOWN,,25|260|277|289|292|360,6,1,4,LOW
GENERIC_UNKNOWN,,25|262,2,1,2,LOW
GENERIC_UNKNOWN,,25|263,2,2,2,LOW
GENERIC_UNKNOWN,,260,1,16,1,LOW
GENERIC_UNKNOWN,,260|261,2,1,2,LOW
GENERIC_UNKNOWN,,260|261|262|329,4,1,4,LOW
GENERIC_UNKNOWN,,260|262,2,5,2,LOW
GENERIC_UNKNOWN,,260|262|277,3,1,3,LOW
GENERIC_UNKNOWN,,260|262|289,3,1,3,LOW
GENERIC_UNKNOWN,,260|267,2,1,2,LOW
GENERIC_UNKNOWN,,260|373,2,1,2,LOW
GENERIC_UNKNOWN,,261,1,39,1,LOW
GENERIC_UNKNOWN,,261|262,2,7,2,LOW
GENERIC_UNKNOWN,,261|262|263|277|336,5,1,4,LOW
GENERIC_UNKNOWN,,261|262|263|514,4,1,4,LOW
GENERIC_UNKNOWN,,261|262|289,3,1,3,LOW
GENERIC_UNKNOWN,,261|263,2,2,2,LOW
GENERIC_UNKNOWN,,261|267,2,1,2,LOW
GENERIC_UNKNOWN,,261|288|339,3,1,3,LOW
GENERIC_UNKNOWN,,261|289|373,3,1,3,LOW
GENERIC_UNKNOWN,,261|29,2,1,2,LOW
GENERIC_UNKNOWN,,261|291,2,1,2,LOW
GENERIC_UNKNOWN,,261|316,2,1,2,LOW
GENERIC_UNKNOWN,,261|327,2,1,2,LOW
GENERIC_UNKNOWN,,261|329,2,1,2,LOW
GENERIC_UNKNOWN,,261|336,2,1,2,LOW
GENERIC_UNKNOWN,,261|348|373|549|559,5,1,4,LOW
GENERIC_UNKNOWN,,261|352|354,3,1,3,LOW
GENERIC_UNKNOWN,,261|373,2,1,2,LOW
GENERIC_UNKNOWN,,262,1,150,1,LOW
GENERIC_UNKNOWN,,262|263,2,8,2,LOW
GENERIC_UNKNOWN,,262|263|329,3,2,3,LOW
GENERIC_UNKNOWN,,262|267,2,2,2,LOW
GENERIC_UNKNOWN,,262|288,2,1,2,LOW
GENERIC_UNKNOWN,,262|289,2,1,2,LOW
GENERIC_UNKNOWN,,262|291,2,1,2,LOW
GENERIC_UNKNOWN,,262|295,2,1,2,LOW
GENERIC_UNKNOWN,,262|327,2,1,2,LOW
GENERIC_UNKNOWN,,262|327|329|362|550,5,1,4,LOW
GENERIC_UNKNOWN,,262|327|641,3,1,3,LOW
GENERIC_UNKNOWN,,262|329,2,2,2,LOW
GENERIC_UNKNOWN,,262|336,2,1,2,LOW
GENERIC_UNKNOWN,,262|336|5,3,1,3,LOW
GENERIC_UNKNOWN,,262|373,2,3,2,LOW
GENERIC_UNKNOWN,,262|373|5,3,1,3,LOW
GENERIC_UNKNOWN,,262|5,2,1,2,LOW
GENERIC_UNKNOWN,,262|596,2,1,2,LOW
GENERIC_UNKNOWN,,263,1,56,1,LOW
GENERIC_UNKNOWN,,263|268,2,1,2,LOW
GENERIC_UNKNOWN,,263|277|329,3,1,3,LOW
GENERIC_UNKNOWN,,263|329,2,3,2,LOW
GENERIC_UNKNOWN,,265|332,2,1,2,LOW
GENERIC_UNKNOWN,,266|288,2,1,2,LOW
GENERIC_UNKNOWN,,267|271,2,1,2,LOW
GENERIC_UNKNOWN,,267|329|406,3,1,3,LOW
GENERIC_UNKNOWN,,271,1,6,1,LOW
GENERIC_UNKNOWN,,271|289|373,3,1,3,LOW
GENERIC_UNKNOWN,,277,1,1,1,LOW
GENERIC_UNKNOWN,,288,1,5,1,LOW
GENERIC_UNKNOWN,,288|289,2,1,2,LOW
GENERIC_UNKNOWN,,288|347|5,3,1,3,LOW
GENERIC_UNKNOWN,,288|373|395,3,1,3,LOW
GENERIC_UNKNOWN,,289,1,22,1,LOW
GENERIC_UNKNOWN,,289|291,2,1,2,LOW
GENERIC_UNKNOWN,,289|373,2,1,2,LOW
GENERIC_UNKNOWN,,289|373|5,3,1,3,LOW
GENERIC_UNKNOWN,,289|5,2,1,2,LOW
GENERIC_UNKNOWN,,289|622,2,1,2,LOW
GENERIC_UNKNOWN,,291,1,2,1,LOW
GENERIC_UNKNOWN,,291|373,2,1,2,LOW
GENERIC_UNKNOWN,,292|373|395,3,1,3,LOW
GENERIC_UNKNOWN,,292|557|582,3,1,3,LOW
GENERIC_UNKNOWN,,2|220|258|259|260|261|321,7,1,4,LOW
GENERIC_UNKNOWN,,2|258|259|260|261|262|289|373,8,1,4,LOW
GENERIC_UNKNOWN,,2|25|339|395,4,1,4,LOW
GENERIC_UNKNOWN,,2|262,2,1,2,LOW
GENERIC_UNKNOWN,,302,1,1,1,LOW
GENERIC_UNKNOWN,,316,1,1,1,LOW
GENERIC_UNKNOWN,,316|348,2,1,2,LOW
GENERIC_UNKNOWN,,316|5,2,1,2,LOW
GENERIC_UNKNOWN,,322,1,1,1,LOW
GENERIC_UNKNOWN,,327,1,4,1,LOW
GENERIC_UNKNOWN,,329,1,29,1,LOW
GENERIC_UNKNOWN,,329|5,2,1,2,LOW
GENERIC_UNKNOWN,,332,1,2,1,LOW
GENERIC_UNKNOWN,,336,1,1,1,LOW
GENERIC_UNKNOWN,,347,1,1,1,LOW
GENERIC_UNKNOWN,,347|348|354|360|584,5,1,4,LOW
GENERIC_UNKNOWN,,352,1,6,1,LOW
GENERIC_UNKNOWN,,352|391,2,1,2,LOW
GENERIC_UNKNOWN,,353,1,1,1,LOW
GENERIC_UNKNOWN,,354,1,1,1,LOW
GENERIC_UNKNOWN,,357|358|359|362|363|364|365|366|367|368|393|394,12,1,4,LOW
GENERIC_UNKNOWN,,359|360|391|394,4,1,4,LOW
GENERIC_UNKNOWN,,360,1,7,1,LOW
GENERIC_UNKNOWN,,373,1,21,1,LOW
GENERIC_UNKNOWN,,391,1,3,1,LOW
GENERIC_UNKNOWN,,395,1,8,1,LOW
GENERIC_UNKNOWN,,395|426,2,2,2,LOW
GENERIC_UNKNOWN,,406,1,1,1,LOW
GENERIC_UNKNOWN,,426,1,4,1,LOW
GENERIC_UNKNOWN,,426|631,2,1,2,LOW
GENERIC_UNKNOWN,,5,1,4,1,LOW
GENERIC_UNKNOWN,,55,1,1,1,LOW
GENERIC_UNKNOWN,,582,1,1,1,LOW
GENERIC_UNKNOWN,,596,1,3,1,LOW
GENERIC_UNKNOWN,,596|599,2,1,2,LOW
GENERIC_UNKNOWN,,598,1,1,1,LOW
GENERIC_UNKNOWN,,630,1,1,1,LOW
GENERIC_UNKNOWN,,632,1,1,1,LOW
GENERIC_UNKNOWN,,7,1,1,1,LOW
GES,,253,1,1,1,LOW
GES,,254,1,1,1,LOW
GES,,255,1,1,1,LOW
GES,,257,1,2,1,LOW
GES,,257|289,2,1,2,LOW
GES,,259,1,2,1,LOW
GES,,259|262,2,2,2,LOW
GES,,260,1,1,1,LOW
GES,,262,1,3,1,LOW
GES,,316,1,1,1,LOW
GES,,332,1,1,1,LOW
GES(Teshie LeKMA '1' JHS,,255,1,1,1,LOW
GFPA,,580,1,1,1,LOW
GGIS,2023-09,253,1,1,1,LOW
GGIS,2023-11,253,1,1,1,LOW
GGIS,2023-11,256,1,2,1,LOW
GGIS,,254|257,2,1,2,LOW
GGIS,,256,1,1,1,LOW
GGIS,,262,1,2,1,LOW
GHANA INSTITUTE FOR MANAGEMENT AND PUBLIC ADMINISTRATION,2025-12,259,1,1,1,LOW
GHANA INSTITUTE FOR MANAGEMENT AND PUBLIC ADMINISTRATION,,288,1,1,1,LOW
GHANAS,,258,1,1,1,LOW
GHANASS,,258|261|262|263|329,5,1,4,LOW
GHANATA SNR HIGH,2020-03,289,1,1,1,LOW
GHANATA SNR HIGH,,255|260|261,3,1,3,LOW
GHANATA Senior High School,,258|261,2,1,2,LOW
GIFEC,,257,1,1,1,LOW
GIFEC,,339,1,1,1,LOW
GIJ,,25|259,2,1,2,LOW
GIS,,262|322|434,3,1,3,LOW
GJSS,,255|262,2,1,2,LOW
GOD'S DIVINE ACADEMY,2024-12,253|254|255|256,4,4,4,LOW
GOMOA COMMUNITY BANK,2023-08,520,1,3,1,LOW
GOMOA COMMUNITY BANK,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,3,4,LOW
GOMOA COMMUNITY BANK,2025-10,520|522|524|531,4,1,4,LOW
GOMOA COMMUNITY BANK,2026-06,580,1,3,1,LOW
GOMOA COMMUNITY BANK LTD.,2025-10,520|522|523|527|529|531,6,1,4,LOW
GOMOA COMMUNITY BANK LTD.,2025-10,520|522|524,3,5,3,LOW
GOMOA COMMUNITY BANK LTD.,2025-10,520|522|524|526|529|531,6,1,4,LOW
GOMOA COMMUNITY BANK LTD.,2025-10,520|522|524|531,4,2,4,LOW
GOMOA COMMUNITY BANK LTD.,2025-10,520|524,2,3,2,LOW
GOMOA COMMUNITY BANK LTD.,2025-10,522|524,2,1,2,LOW
GOMOA COMMUNITY BANK LTD.,2025-11,520|522|524,3,3,3,LOW
GOMOA COMMUNITY BANK LTD.,2025-11,520|522|524|529,4,1,4,LOW
GOMOA COMMUNITY BANK LTD.,2025-11,520|522|524|531,4,1,4,LOW
GOMOA COMMUNITY BANK LTD.,2025-12,520|530|531|532,4,1,4,LOW
GOMOA COMMUNITY BANK LTD.,2026-06,580,1,14,1,LOW
GOMOA COMMUNITY BANK LTD.,,224|25|256|265|267|288|292|332|348,9,1,4,LOW
GOMOA COMMUNITY BANK LTD.,,356|520|522|523|531,5,1,4,LOW
GOMOA COMMUNITY BANK LTD.,,520|530,2,1,2,LOW
GOMOA snr high and tech,,259,1,1,1,LOW
GRA,,220|25,2,1,2,LOW
GRACE HILL PREPARATORY ,2024-12,253|254|255|256,4,1,4,LOW
GREAT AMASS,,255|259|262,3,1,3,LOW
GSR Consulting,,258,1,1,1,LOW
GTUC,,22,1,1,1,LOW
GTUC,,25,1,2,1,LOW
GTUC,,262,1,1,1,LOW
GTUC,,316,1,1,1,LOW
Gaining,,261,1,1,1,LOW
Gapat Educational Complex,2024-12,253|254|255|256,4,86,4,MEDIUM
Garden City University,,323,1,1,1,LOW
Garden City University college,2021-11,352|391,2,1,2,LOW
Garden City University college,,425,1,1,1,LOW
Garden City University collegue,2022-03,352,1,1,1,LOW
Garden City University collegue,,347|406,2,1,2,LOW
Garu tempani,,263,1,1,1,LOW
Gbewaa college,,253,1,1,1,LOW
General,2020-01,372,1,1,1,LOW
General,,237,1,1,1,LOW
General Art,,259,1,3,1,LOW
General Art,,259|261|267,3,1,3,LOW
General Art,,259|262,2,1,2,LOW
General Art,,259|373,2,1,2,LOW
General Art,,260,1,1,1,LOW
General Art,,261,1,2,1,LOW
General Art,,262,1,1,1,LOW
General Art,,271,1,1,1,LOW
General Art,,289,1,1,1,LOW
General Art,,332,1,1,1,LOW
General Art student,,262|289|373|5,4,1,4,LOW
General arts,2024-08,289,1,1,1,LOW
General arts,,253|596,2,1,2,LOW
General arts,,258|289,2,1,2,LOW
General arts,,259,1,2,1,LOW
General arts,,260,1,1,1,LOW
General arts,,260|292,2,1,2,LOW
General arts,,261,1,1,1,LOW
General arts,,373,1,1,1,LOW
Gh,,253|353,2,1,2,LOW
Gh,,259|360,2,1,2,LOW
Ghana,2023-08,339,1,1,1,LOW
Ghana,2024-08,254,1,1,1,LOW
Ghana,2026-03,520,1,1,1,LOW
Ghana,2026-06,580,1,1,1,LOW
Ghana,,173|262|263,3,1,3,LOW
Ghana,,25,1,1,1,LOW
Ghana,,251,1,1,1,LOW
Ghana,,255,1,2,1,LOW
Ghana,,255|259,2,1,2,LOW
Ghana,,255|261,2,1,2,LOW
Ghana,,258,1,1,1,LOW
Ghana,,258|261|288|395,4,1,4,LOW
Ghana,,258|263,2,1,2,LOW
Ghana,,258|329,2,1,2,LOW
Ghana,,259,1,3,1,LOW
Ghana,,259|262,2,2,2,LOW
Ghana,,259|262|289,3,1,3,LOW
Ghana,,261,1,1,1,LOW
Ghana,,262,1,1,1,LOW
Ghana,,274,1,1,1,LOW
Ghana,,289|360,2,1,2,LOW
