institute_norm,institute_standardized,institute_std_method,institute_std_source
huni valley senior high school,Huni Valley Senior High School,normalized_only,normalized_only
fidif school,Fidif School,normalized_only,normalized_only
spva,Spva,normalized_only,normalized_only
uict,Uict,normalized_only,normalized_only
ikbn,Ikbn,normalized_only,normalized_only
droit paris saclay,Droit Paris Saclay,normalized_only,normalized_only
zeepay and referred by ecampus,Zeepay And Referred By Ecampus,normalized_only,normalized_only
irts nouvelle aquitaine,Irts Nouvelle Aquitaine,normalized_only,normalized_only
lake mary high,Lake Mary High,normalized_only,normalized_only
amass,Amass,normalized_only,normalized_only
central michigan university,Central Michigan University,normalized_only,normalized_only
sammo shs,Sammo Shs,normalized_only,normalized_only
capital university,Capital University,normalized_only,normalized_only
obuasi senior high,Obuasi Senior High,normalized_only,normalized_only
seconday school,Seconday School,normalized_only,normalized_only
potomac state college,Potomac State College,normalized_only,normalized_only
college of education,College Of Education,normalized_only,normalized_only
gaining,Gaining,normalized_only,normalized_only
girls education initiative ghana,Girls Education Initiative Ghana,normalized_only,normalized_only
famu,Famu,normalized_only,normalized_only
kumawuman rural bank plc,kumawuman rural bank,manual_map,fuzzy_confirmed
at cyprian,At Cyprian,normalized_only,normalized_only
dallas college mountain view,Dallas College Mountain View,normalized_only,normalized_only
okay thanks for letting us come over there now,Okay Thanks For Letting Us Come Over There Now,normalized_only,normalized_only
zuari cement limited,Zuari Cement Limited,normalized_only,normalized_only
univesite de nimes,Univesite De Nimes,normalized_only,normalized_only
vi highlands ranch,Vi Highlands Ranch,normalized_only,normalized_only
universidad autonoma de asuncion,Universidad Autonoma De Asuncion,normalized_only,normalized_only
sda college of education,Sda College Of Education,normalized_only,normalized_only
kano state poly technic,Kano State Poly Technic,normalized_only,normalized_only
northlink tevt college,Northlink Tevt College,normalized_only,normalized_only
takoradi technical university,Takoradi Technical University,normalized_only,normalized_only
leaning,Leaning,normalized_only,normalized_only
asalpro,Asalpro,normalized_only,normalized_only
h,H,normalized_only,normalized_only
new life academy,New Life Academy,normalized_only,normalized_only
jeongmugyeom,Jeongmugyeom,normalized_only,normalized_only
vpms orion,Vpms Orion,normalized_only,normalized_only
tamale senior high school,Tamale Senior High School,normalized_only,normalized_only
abutia e p j h s,Abutia E P J H S,normalized_only,normalized_only
pgcg11,Pgcg11,normalized_only,normalized_only
aims,Aims,normalized_only,normalized_only
jackson high middle school,Jackson High Middle School,normalized_only,normalized_only
ola sen high,Ola Sen High,normalized_only,normalized_only
makeesa pharmacy,Makeesa Pharmacy,normalized_only,normalized_only
college of midwifery,College Of Midwifery,normalized_only,normalized_only
sonzele rural bank plc,sonzele rural bank,manual_map,fuzzy_confirmed
rivier university,Rivier University,normalized_only,normalized_only
university of mines and technology,University Of Mines And Technology,normalized_only,normalized_only
cedar valley college,Cedar Valley College,normalized_only,normalized_only
ufr de droit,Ufr De Droit,normalized_only,normalized_only
elsa,Elsa,normalized_only,normalized_only
black,Black,normalized_only,normalized_only
tamale,Tamale,normalized_only,normalized_only
our lady of grace,Our Lady Of Grace,normalized_only,normalized_only
a car technical college,A Car Technical College,normalized_only,normalized_only
jss,Jss,normalized_only,normalized_only
boh,Boh,normalized_only,normalized_only
resolve systems limited,Resolve Systems Limited,normalized_only,normalized_only
scf,Scf,normalized_only,normalized_only
patisserie,Patisserie,normalized_only,normalized_only
aya,Aya,normalized_only,normalized_only
suhum sec tech,Suhum Sec Tech,normalized_only,normalized_only
somanya,Somanya,normalized_only,normalized_only
kyunghee mba,Kyunghee Mba,normalized_only,normalized_only
bessfa rural bank limited,Bessfa Rural Bank Limited,normalized_only,normalized_only
lake howell,Lake Howell,normalized_only,normalized_only
universite de saint quentin en yvelines,Universite De Saint Quentin En Yvelines,normalized_only,normalized_only
blinn rellis,Blinn Rellis,normalized_only,normalized_only
c p s,C P S,normalized_only,normalized_only
athens technical college,Athens Technical College,normalized_only,normalized_only
ofori panin senior high,Ofori Panin Senior High,normalized_only,normalized_only
ndkd,Ndkd,normalized_only,normalized_only
south dakota state,South Dakota State,normalized_only,normalized_only
alaska,Alaska,normalized_only,normalized_only
adventist education unit,Adventist Education Unit,normalized_only,normalized_only
j h s 2,J H S 2,normalized_only,normalized_only
kumawuman rural bank limited,kumawuman rural bank,manual_map,fuzzy_confirmed
lautech,Lautech,normalized_only,normalized_only
ashesi university,Ashesi University,normalized_only,normalized_only
oak city international,Oak City International,normalized_only,normalized_only
try,Try,normalized_only,normalized_only
winneba senior school,Winneba Senior School,normalized_only,normalized_only
new horizon scholars school thane,New Horizon Scholars School Thane,normalized_only,normalized_only
chcf,Chcf,normalized_only,normalized_only
football referee,Football Referee,normalized_only,normalized_only
i c t,I C T,normalized_only,normalized_only
juaben shs,Juaben Shs,normalized_only,normalized_only
starlife assurance tuc,Starlife Assurance Tuc,normalized_only,normalized_only
presbyterian boy s secondary school legon,presbyterian senior high,manual_map,fuzzy_confirmed
penuel international,Penuel International,normalized_only,normalized_only
covenant presby school,Covenant Presby School,normalized_only,normalized_only
post graduate government college girls sector 42 d chandigarh,Post Graduate Government College Girls Sector 42 D Chandigarh,normalized_only,normalized_only
enterprise group plc,Enterprise Group Plc,normalized_only,normalized_only
sings,Sings,normalized_only,normalized_only
njcu,Njcu,normalized_only,normalized_only
universitat gottingen,Universitat Gottingen,normalized_only,normalized_only
maitri vatika,Maitri Vatika,normalized_only,normalized_only
navies angel s educational centre,Navies Angel S Educational Centre,normalized_only,normalized_only
assin north senior high school,Assin North Senior High School,normalized_only,normalized_only
secondary level,Secondary Level,normalized_only,normalized_only
at martin de porres,At Martin De Porres,normalized_only,normalized_only
dhs,Dhs,normalized_only,normalized_only
fijai shs,Fijai Shs,normalized_only,normalized_only
seminole highschool,Seminole Highschool,normalized_only,normalized_only
folkeuniversitetet i oslo,Folkeuniversitetet I Oslo,normalized_only,normalized_only
unilag,Unilag,normalized_only,normalized_only
navies angels educational centre,Navies Angels Educational Centre,normalized_only,normalized_only
anchor preparatory jhs,Anchor Preparatory Jhs,normalized_only,normalized_only
kwame nkrumah university,Kwame Nkrumah University,normalized_only,normalized_only
kanton senior high,Kanton Senior High,normalized_only,normalized_only
iqbal,Iqbal,normalized_only,normalized_only
seoildaehaggyo,Seoildaehaggyo,normalized_only,normalized_only
hotel,Hotel,normalized_only,normalized_only
new horizon scholars school vasant lawns,New Horizon Scholars School Vasant Lawns,normalized_only,normalized_only
denkyiraman rural bank limited,denkyiraman rural bank,manual_map,fuzzy_confirmed
alafaurashiduun islamic high,Alafaurashiduun Islamic High,normalized_only,normalized_only
non,Non,normalized_only,normalized_only
chapter 54,Chapter 54,normalized_only,normalized_only
umats,Umats,normalized_only,normalized_only
st samuel p wisdom educational complex,St Samuel P Wisdom Educational Complex,normalized_only,normalized_only
nurse,Nurse,normalized_only,normalized_only
gjk,Gjk,normalized_only,normalized_only
universite islamique au niger,Universite Islamique Au Niger,normalized_only,normalized_only
university of iowa,University Of Iowa,normalized_only,normalized_only
kenpoly,Kenpoly,normalized_only,normalized_only
suny cortland,Suny Cortland,normalized_only,normalized_only
kpasenkpe,Kpasenkpe,normalized_only,normalized_only
nagie s a ngels educational center,Nagie S A Ngels Educational Center,normalized_only,normalized_only
jh,Jh,normalized_only,normalized_only
penn state university,Penn State University,normalized_only,normalized_only
kingsborough community college,Kingsborough Community College,normalized_only,normalized_only
upv,Upv,normalized_only,normalized_only
opoku ware t,Opoku Ware T,normalized_only,normalized_only
akenten appiah menkah university,Akenten Appiah Menkah University,normalized_only,normalized_only
pantang,Pantang,normalized_only,normalized_only
weija,Weija,normalized_only,normalized_only
haiti teenchallenge,Haiti Teenchallenge,normalized_only,normalized_only
whizzy innovation hub,Whizzy Innovation Hub,normalized_only,normalized_only
universite caen,Universite Caen,normalized_only,normalized_only
namcol student,Namcol Student,normalized_only,normalized_only
panjab university,Panjab University,normalized_only,normalized_only
wasse,Wasse,normalized_only,normalized_only
ossec,Ossec,normalized_only,normalized_only
nagie s angels educatonal center,Nagie S Angels Educatonal Center,normalized_only,normalized_only
asasco,Asasco,normalized_only,normalized_only
t i amsss,T I Amsss,normalized_only,normalized_only
sda bekwai,Sda Bekwai,normalized_only,normalized_only
akrofuom area rural bank ltd,Akrofuom Area Rural Bank Ltd,normalized_only,normalized_only
post graduate government college girls 11,Post Graduate Government College Girls 11,normalized_only,normalized_only
presbyterian school,Presbyterian School,normalized_only,normalized_only
mpraeso shs,Mpraeso Shs,normalized_only,normalized_only
llcer espagnol,Llcer Espagnol,normalized_only,normalized_only
asokore rural bank plc,Asokore Rural Bank Plc,normalized_only,normalized_only
valley view university,Valley View University,normalized_only,normalized_only
akuapem rural bank,akuapem rural bank,manual_map,fuzzy_confirmed
100 level,100 Level,normalized_only,normalized_only
bawjiase area rural bank,bawjiase area rural bank,manual_map,fuzzy_confirmed
emmanuel international science college,Emmanuel International Science College,normalized_only,normalized_only
klikor senior high technical school,Klikor Senior High Technical School,normalized_only,normalized_only
translation,Translation,normalized_only,normalized_only
pggc11 coed chandigarh,Pggc11 Coed Chandigarh,normalized_only,normalized_only
shs level,Shs Level,normalized_only,normalized_only
university of naples federico ii,University Of Naples Federico Ii,normalized_only,normalized_only
georg august university of gottingen,Georg August University Of Gottingen,normalized_only,normalized_only
agona rural bank plc,agona rural bank,manual_map,fuzzy_confirmed
fiaseman bank plc,fiaseman rural bank,manual_map,fuzzy_confirmed
jackson heights ms,Jackson Heights Ms,normalized_only,normalized_only
ejisu,Ejisu,normalized_only,normalized_only
dallas college richland campus,Dallas College Richland Campus,normalized_only,normalized_only
tu dortmund,Tu Dortmund,normalized_only,normalized_only
preby senior high school,Preby Senior High School,normalized_only,normalized_only
sefwi wiaso nursing training college,Sefwi Wiaso Nursing Training College,normalized_only,normalized_only
arab,Arab,normalized_only,normalized_only
universire paris saclay,Universire Paris Saclay,normalized_only,normalized_only
oak city nursing training college,Oak City Nursing Training College,normalized_only,normalized_only
jericho pty,Jericho Pty,normalized_only,normalized_only
newjoy academy newjoy academy,Newjoy Academy Newjoy Academy,normalized_only,normalized_only
mest africa,Mest Africa,normalized_only,normalized_only
atwima mponua rural bank plc,atwima mponua rural bank,manual_map,fuzzy_confirmed
maarssen,Maarssen,normalized_only,normalized_only
occupational management limited,Occupational Management Limited,normalized_only,normalized_only
waterville pd,Waterville Pd,normalized_only,normalized_only
ba,Ba,normalized_only,normalized_only
suny cobleskill,Suny Cobleskill,normalized_only,normalized_only
st paul technical school,St Paul Technical School,normalized_only,normalized_only
single,Single,normalized_only,normalized_only
the first time,The First Time,normalized_only,normalized_only
ong ing a ue,Ong Ing A Ue,normalized_only,normalized_only
odotobri rural bank plc,odotobri rural bank,manual_map,fuzzy_confirmed
meridian college,Meridian College,normalized_only,normalized_only
senior secondary two,Senior Secondary Two,normalized_only,normalized_only
shool,Shool,normalized_only,normalized_only
ulpgl,Ulpgl,normalized_only,normalized_only
kioi,Kioi,normalized_only,normalized_only
greenvalley sanicolas 3,Greenvalley Sanicolas 3,normalized_only,normalized_only
lower pra rural bank lyd,Lower Pra Rural Bank Lyd,normalized_only,normalized_only
bd somani,Bd Somani,normalized_only,normalized_only
seoulsinhagdaehaggyo,Seoulsinhagdaehaggyo,normalized_only,normalized_only
icms,Icms,normalized_only,normalized_only
dongmyeongdaehangyo,Dongmyeongdaehangyo,normalized_only,normalized_only
plaza college,Plaza College,normalized_only,normalized_only
ga west,Ga West,normalized_only,normalized_only
pentecost senior high school,Pentecost Senior High School,normalized_only,normalized_only
bicetre,Bicetre,normalized_only,normalized_only
lawra area rural bank,lawra area rural bank,manual_map,fuzzy_confirmed
licence economie,Licence Economie,normalized_only,normalized_only
kingsborough,Kingsborough,normalized_only,normalized_only
ci school,Ci School,normalized_only,normalized_only
unemployed,Unemployed,normalized_only,normalized_only
to learn,To Learn,normalized_only,normalized_only
post graduation government college for girls 42,Post Graduation Government College For Girls 42,normalized_only,normalized_only
abutia tegbleve,Abutia Tegbleve,normalized_only,normalized_only
odupongkpehe rural bank bank,Odupongkpehe Rural Bank Bank,normalized_only,normalized_only
whatcom community college,Whatcom Community College,normalized_only,normalized_only
kaaf university college,Kaaf University College,normalized_only,normalized_only
sewfi wiawso nursing training college,Sewfi Wiawso Nursing Training College,normalized_only,normalized_only
ug,Ug,normalized_only,normalized_only
oau,Oau,normalized_only,normalized_only
central methodist university,Central Methodist University,normalized_only,normalized_only
kibabii university,Kibabii University,normalized_only,normalized_only
ollesos technical,Ollesos Technical,normalized_only,normalized_only
salus university,Salus University,normalized_only,normalized_only
lake mary school,Lake Mary School,normalized_only,normalized_only
nursing and midwifery,Nursing And Midwifery,normalized_only,normalized_only
hohoe basic,Hohoe Basic,normalized_only,normalized_only
upper amenfi,Upper Amenfi,normalized_only,normalized_only
amantin and kasei community bank ltd,Amantin And Kasei Community Bank Ltd,normalized_only,normalized_only
retail banker,Retail Banker,normalized_only,normalized_only
daehag,Daehag,normalized_only,normalized_only
dagbon state senior high technical school,Dagbon State Senior High Technical School,normalized_only,normalized_only
el paso community college,El Paso Community College,normalized_only,normalized_only
volta region,Volta Region,normalized_only,normalized_only
dkdnd,Dkdnd,normalized_only,normalized_only
lake howl high,Lake Howl High,normalized_only,normalized_only
excelsior unversity,Excelsior Unversity,normalized_only,normalized_only
akenten appiah menka university of skills and training,Akenten Appiah Menka University Of Skills And Training,normalized_only,normalized_only
gyoyug,Gyoyug,normalized_only,normalized_only
north,North,normalized_only,normalized_only
daf,Daf,normalized_only,normalized_only
priyadarshani school moshi,Priyadarshani School Moshi,normalized_only,normalized_only
odupongkhehe rural bank,odupongkpehe rural bank,manual_map,fuzzy_confirmed
i am not sure,I Am Not Sure,normalized_only,normalized_only
angie s angels educational centre,Angie S Angels Educational Centre,normalized_only,normalized_only
west virginia jniversity,West Virginia Jniversity,normalized_only,normalized_only
dp,Dp,normalized_only,normalized_only
lake howell highschool,Lake Howell Highschool,normalized_only,normalized_only
upper amen rural bank,Upper Amen Rural Bank,normalized_only,normalized_only
nkwasco,Nkwasco,normalized_only,normalized_only
panepistemio dutikes makedonias,Panepistemio Dutikes Makedonias,normalized_only,normalized_only
st stephen s school habra,St Stephen S School Habra,normalized_only,normalized_only
lawtonchiles,Lawtonchiles,normalized_only,normalized_only
opoku ware schoo,Opoku Ware Schoo,normalized_only,normalized_only
paris saclay las staps,Paris Saclay Las Staps,normalized_only,normalized_only
springtime educational centre,Springtime Educational Centre,normalized_only,normalized_only
abokobi,Abokobi,normalized_only,normalized_only
nagies angel educatonal centre,Nagies Angel Educatonal Centre,normalized_only,normalized_only
benkum senior high school,Benkum Senior High School,normalized_only,normalized_only
busitema university,Busitema University,normalized_only,normalized_only
swesbu,Swesbu,normalized_only,normalized_only
gyeonghoedaehigyo,Gyeonghoedaehigyo,normalized_only,normalized_only
st john s grammar senior high school,St John S Grammar Senior High School,normalized_only,normalized_only
nkoranza kwabre rural bank plc,nkoranza kwabre rural bank,manual_map,fuzzy_confirmed
ait,Ait,normalized_only,normalized_only
crooms,Crooms,normalized_only,normalized_only
etoile royale,Etoile Royale,normalized_only,normalized_only
effiduasi senior high school,Effiduasi Senior High School,normalized_only,normalized_only
nkoranman senior high school,Nkoranman Senior High School,normalized_only,normalized_only
monica,Monica,normalized_only,normalized_only
kwame nkrumah university of science and technology kumasi,Kwame Nkrumah University Of Science And Technology Kumasi,normalized_only,normalized_only
life university,Life University,normalized_only,normalized_only
workplace,Workplace,normalized_only,normalized_only
cma tourcoing le virolois,Cma Tourcoing Le Virolois,normalized_only,normalized_only
dallas college eastfield,Dallas College Eastfield,normalized_only,normalized_only
koforidua secondary technical school,Koforidua Secondary Technical School,normalized_only,normalized_only
lake brantly highschool,Lake Brantly Highschool,normalized_only,normalized_only
etudiante diplomee,Etudiante Diplomee,normalized_only,normalized_only
starliife assurance,Starliife Assurance,normalized_only,normalized_only
davc10,Davc10,normalized_only,normalized_only
aaaaaa,Aaaaaa,normalized_only,normalized_only
al ghazali,Al Ghazali,normalized_only,normalized_only
institut kemahiran tinggi belia negara,Institut Kemahiran Tinggi Belia Negara,normalized_only,normalized_only
hhhhh,Hhhhh,normalized_only,normalized_only
unito,Unito,normalized_only,normalized_only
et program,Et Program,normalized_only,normalized_only
muslim,Muslim,normalized_only,normalized_only
elites learning centre,Elites Learning Centre,normalized_only,normalized_only
jaramog oginga odinga university of science and technology,Jaramog Oginga Odinga University Of Science And Technology,normalized_only,normalized_only
lawton chiles,Lawton Chiles,normalized_only,normalized_only
north carolina school,North Carolina School,normalized_only,normalized_only
greenwood lakes middle school,Greenwood Lakes Middle School,normalized_only,normalized_only
oakland university,Oakland University,normalized_only,normalized_only
francais,Francais,normalized_only,normalized_only
hochschule niederrhein,Hochschule Niederrhein,normalized_only,normalized_only
student senior high school,Student Senior High School,normalized_only,normalized_only
tweneboah kodua senior high school,Tweneboah Kodua Senior High School,normalized_only,normalized_only
mountain view college,Mountain View College,normalized_only,normalized_only
texas a m commerce,Texas A M Commerce,normalized_only,normalized_only
sums rural bank plc,Sums Rural Bank Plc,normalized_only,normalized_only
seoul theological university,Seoul Theological University,normalized_only,normalized_only
post graduate girls college sector 11 chandigarh,Post Graduate Girls College Sector 11 Chandigarh,normalized_only,normalized_only
colorado theological seminary,Colorado Theological Seminary,normalized_only,normalized_only
nacca,Nacca,normalized_only,normalized_only
my name is amankwaa,My Name Is Amankwaa,normalized_only,normalized_only
st john s school,St John S School,normalized_only,normalized_only
ssl,Ssl,normalized_only,normalized_only
part of hongkong woolongon,Part Of Hongkong Woolongon,normalized_only,normalized_only
nagiem,Nagiem,normalized_only,normalized_only
wbs schule,Wbs Schule,normalized_only,normalized_only
vancouver career college,Vancouver Career College,normalized_only,normalized_only
techiman adventist jhs,Techiman Adventist Jhs,normalized_only,normalized_only
accra high,Accra High,normalized_only,normalized_only
presbyterian boys senior high,Presbyterian Boys Senior High,normalized_only,normalized_only
stimy ai,Stimy Ai,normalized_only,normalized_only
fmpm,Fmpm,normalized_only,normalized_only
lawton chiles middle,Lawton Chiles Middle,normalized_only,normalized_only
elimond international school,Elimond International School,normalized_only,normalized_only
kwaku ridge senior high technical,Kwaku Ridge Senior High Technical,normalized_only,normalized_only
st thomas,St Thomas,normalized_only,normalized_only
ohemaa basic academy,Ohemaa Basic Academy,normalized_only,normalized_only
ccac,Ccac,normalized_only,normalized_only
pantang nursing and midwifery training college,Pantang Nursing And Midwifery Training College,normalized_only,normalized_only
bolgatanga technical institute,Bolgatanga Technical Institute,normalized_only,normalized_only
renmin university of china,Renmin University Of China,normalized_only,normalized_only
anitia teti e p j h s,Anitia Teti E P J H S,normalized_only,normalized_only
musa gitau primary school,Musa Gitau Primary School,normalized_only,normalized_only
ada senior high school,Ada Senior High School,normalized_only,normalized_only
sharyland high school,Sharyland High School,normalized_only,normalized_only
bicol university tabaco,Bicol University Tabaco,normalized_only,normalized_only
senior history school,Senior History School,normalized_only,normalized_only
kingdom prep school aiyinasi,Kingdom Prep School Aiyinasi,normalized_only,normalized_only
nandom senior high school,Nandom Senior High School,normalized_only,normalized_only
st louis senior high,St Louis Senior High,normalized_only,normalized_only
wisconsin international university college,Wisconsin International University College,normalized_only,normalized_only
nagire s angels educational centre,Nagire S Angels Educational Centre,normalized_only,normalized_only
starbucks,Starbucks,normalized_only,normalized_only
konongo odumase senoir high,Konongo Odumase Senoir High,normalized_only,normalized_only
ssce,Ssce,normalized_only,normalized_only
folkenuniversitet,Folkenuniversitet,normalized_only,normalized_only
haggyo,Haggyo,normalized_only,normalized_only
nagie s angles educational centre1,Nagie S Angles Educational Centre1,normalized_only,normalized_only
ahantaman,Ahantaman,normalized_only,normalized_only
post graduate government college for girls sec 42 chandigarh,Post Graduate Government College For Girls Sec 42 Chandigarh,normalized_only,normalized_only
ankobra west rural bank limite,Ankobra West Rural Bank Limite,normalized_only,normalized_only
problem solving,Problem Solving,normalized_only,normalized_only
iut velizy,Iut Velizy,normalized_only,normalized_only
not sure,Not Sure,normalized_only,normalized_only
ma,Ma,normalized_only,normalized_only
intstitusi kemahiran belia negara kemasik,Intstitusi Kemahiran Belia Negara Kemasik,normalized_only,normalized_only
accra academy,Accra Academy,normalized_only,normalized_only
apex,arb apex bank,manual_map,fuzzy_confirmed
reeva services,Reeva Services,normalized_only,normalized_only
bolgatanga,Bolgatanga,normalized_only,normalized_only
jacobu senior high technical school,Jacobu Senior High Technical School,normalized_only,normalized_only
west virginia university morgantown,West Virginia University Morgantown,normalized_only,normalized_only
kuwait university,Kuwait University,normalized_only,normalized_only
dankook,Dankook,normalized_only,normalized_only
new ebu catholic basic sc,New Ebu Catholic Basic Sc,normalized_only,normalized_only
universitas teknologi sumbawa,Universitas Teknologi Sumbawa,normalized_only,normalized_only
adisec,Adisec,normalized_only,normalized_only
cisco college,Cisco College,normalized_only,normalized_only
llh,Llh,normalized_only,normalized_only
saints augustine s college,Saints Augustine S College,normalized_only,normalized_only
hicas,Hicas,normalized_only,normalized_only
mana,Mana,normalized_only,normalized_only
vally view,Vally View,normalized_only,normalized_only
accra wesley girls high school,Accra Wesley Girls High School,normalized_only,normalized_only
osei tutu senior highschool,Osei Tutu Senior Highschool,normalized_only,normalized_only
www sandra adu e campu,Www Sandra Adu E Campu,normalized_only,normalized_only
holy child school tutor,Holy Child School Tutor,normalized_only,normalized_only
vcad,Vcad,normalized_only,normalized_only
fssm,Fssm,normalized_only,normalized_only
lydians international school,Lydians International School,normalized_only,normalized_only
acellus,acellus academy,manual_map,fuzzy_confirmed
excelsior,Excelsior,normalized_only,normalized_only
st basilide s technical institute,St Basilide S Technical Institute,normalized_only,normalized_only
nmtc pantang,Nmtc Pantang,normalized_only,normalized_only
st joseph minor seminary shs,St Joseph Minor Seminary Shs,normalized_only,normalized_only
o o u,O O U,normalized_only,normalized_only
brookhaven,Brookhaven,normalized_only,normalized_only
universitas muhammadiyah jakarta,Universitas Muhammadiyah Jakarta,normalized_only,normalized_only
uni kassel,Uni Kassel,normalized_only,normalized_only
nursing institute,Nursing Institute,normalized_only,normalized_only
ihe delft,Ihe Delft,normalized_only,normalized_only
njala university,Njala University,normalized_only,normalized_only
mount san antonio,Mount San Antonio,normalized_only,normalized_only
a b u,A B U,normalized_only,normalized_only
ghana christian university college,Ghana Christian University College,normalized_only,normalized_only
thomas nelson,Thomas Nelson,normalized_only,normalized_only
mhd,Mhd,normalized_only,normalized_only
jackson college of educat,Jackson College Of Educat,normalized_only,normalized_only
pflege,Pflege,normalized_only,normalized_only
ut terbuka,Ut Terbuka,normalized_only,normalized_only
letshego gh,letshego savings and loans,manual_map,fuzzy_confirmed
corpus cristi,Corpus Cristi,normalized_only,normalized_only
hindustan,Hindustan,normalized_only,normalized_only
sharda university,Sharda University,normalized_only,normalized_only
lakeside,Lakeside,normalized_only,normalized_only
senior high scool,Senior High Scool,normalized_only,normalized_only
lerato comprehensive college,Lerato Comprehensive College,normalized_only,normalized_only
usfx,Usfx,normalized_only,normalized_only
hidaayah islamic shs,Hidaayah Islamic Shs,normalized_only,normalized_only
shs schools,Shs Schools,normalized_only,normalized_only
unkversidad,Unkversidad,normalized_only,normalized_only
st augustine s college,st augustines college,manual_map,fuzzy_confirmed
innohub,Innohub,normalized_only,normalized_only
sangmyeongdaehaggyo,Sangmyeongdaehaggyo,normalized_only,normalized_only
mt sac,Mt Sac,normalized_only,normalized_only
union university,Union University,normalized_only,normalized_only
san francisco xavier de chuquisaca,San Francisco Xavier De Chuquisaca,normalized_only,normalized_only
universidad san francisco xavier,Universidad San Francisco Xavier,normalized_only,normalized_only
osei tutu senior high school,osei tutu senior high,manual_map,fuzzy_confirmed
university of gh,University Of Gh,normalized_only,normalized_only
ugmc,Ugmc,normalized_only,normalized_only
abcd vivo,Abcd Vivo,normalized_only,normalized_only
gcg 11,Gcg 11,normalized_only,normalized_only
wa technical institute,Wa Technical Institute,normalized_only,normalized_only
racc,Racc,normalized_only,normalized_only
el elyon school,El Elyon School,normalized_only,normalized_only
fgis,Fgis,normalized_only,normalized_only
oyoko methodist shs,Oyoko Methodist Shs,normalized_only,normalized_only
colorado state university,Colorado State University,normalized_only,normalized_only
pggc46,Pggc46,normalized_only,normalized_only
aggrey memorial a m z sec,Aggrey Memorial A M Z Sec,normalized_only,normalized_only
st peter s senior high sc,St Peter S Senior High Sc,normalized_only,normalized_only
nursing and midwifery training college korle bu,Nursing And Midwifery Training College Korle Bu,normalized_only,normalized_only
dominion university,Dominion University,normalized_only,normalized_only
sinclair community college,Sinclair Community College,normalized_only,normalized_only
yilo krobo,Yilo Krobo,normalized_only,normalized_only
queensland int school,Queensland Int School,normalized_only,normalized_only
the wright international school,The Wright International School,normalized_only,normalized_only
universitas sarjanawiyata tamansiswa,Universitas Sarjanawiyata Tamansiswa,normalized_only,normalized_only
sonrise christian high school,Sonrise Christian High School,normalized_only,normalized_only
west africa senior high,West Africa Senior High,normalized_only,normalized_only
adjena,Adjena,normalized_only,normalized_only
afua kobi ampem girls senior high school,Afua Kobi Ampem Girls Senior High School,normalized_only,normalized_only
akosombo international school,Akosombo International School,normalized_only,normalized_only
dabokpa technical institu,Dabokpa Technical Institu,normalized_only,normalized_only
armed forces shts,Armed Forces Shts,normalized_only,normalized_only
formation a distance,Formation A Distance,normalized_only,normalized_only
akwatiatechinstitute,Akwatiatechinstitute,normalized_only,normalized_only
assin north senior high s,Assin North Senior High S,normalized_only,normalized_only
bbps,Bbps,normalized_only,normalized_only
a m university,A M University,normalized_only,normalized_only
shs 1,Shs 1,normalized_only,normalized_only
ekumfi t i ahmadiyya,Ekumfi T I Ahmadiyya,normalized_only,normalized_only
santramor zorh ma basic s,Santramor Zorh Ma Basic S,normalized_only,normalized_only
barton community college,Barton Community College,normalized_only,normalized_only
caen,Caen,normalized_only,normalized_only
spartan college of aeronautics and technology,Spartan College Of Aeronautics And Technology,normalized_only,normalized_only
richland college,Richland College,normalized_only,normalized_only
westfied international sc,Westfied International Sc,normalized_only,normalized_only
gottingen,Gottingen,normalized_only,normalized_only
abetifi technical institute,Abetifi Technical Institute,normalized_only,normalized_only
ashaiman senior high school,Ashaiman Senior High School,normalized_only,normalized_only
ashtech,Ashtech,normalized_only,normalized_only
senya senior highy,Senya Senior Highy,normalized_only,normalized_only
rsust,Rsust,normalized_only,normalized_only
kpasec,Kpasec,normalized_only,normalized_only
academy private school,Academy Private School,normalized_only,normalized_only
37nmtc,nursing and midwifery training college,manual_map,fuzzy_confirmed
learners complex school,Learners Complex School,normalized_only,normalized_only
sefwi wiawso nmtc,Sefwi Wiawso Nmtc,normalized_only,normalized_only
friend of little ones,Friend Of Little Ones,normalized_only,normalized_only
st louis,St Louis,normalized_only,normalized_only
ghanass,Ghanass,normalized_only,normalized_only
37 nursing training college,nursing and midwifery training college,manual_map,fuzzy_confirmed
2,2,normalized_only,normalized_only
collin college,Collin College,normalized_only,normalized_only
universitas nusa nipa maumere,Universitas Nusa Nipa Maumere,normalized_only,normalized_only
37 nmtc,nursing and midwifery training college,manual_map,fuzzy_confirmed
asamankese shs,Asamankese Shs,normalized_only,normalized_only
texas a,Texas A,normalized_only,normalized_only
ut,Ut,normalized_only,normalized_only
methodist church ghana,Methodist Church Ghana,normalized_only,normalized_only
gate,Gate,normalized_only,normalized_only
don t have,Don T Have,normalized_only,normalized_only
abcde,Abcde,normalized_only,normalized_only
alhuda,Alhuda,normalized_only,normalized_only
cedar valley,Cedar Valley,normalized_only,normalized_only
st margret senior high s,St Margret Senior High S,normalized_only,normalized_only
toccoa,Toccoa,normalized_only,normalized_only
asawase,Asawase,normalized_only,normalized_only
accra tech,Accra Tech,normalized_only,normalized_only
accra girls shs,Accra Girls Shs,normalized_only,normalized_only
ba 1year,Ba 1Year,normalized_only,normalized_only
