institute_norm,institute_standardized,institute_std_method,institute_std_source
tuskawilla,Tuskawilla,normalized_only,normalized_only
ada rural bank ltd,ada rural bank,manual_map,fuzzy_confirmed
future prime academy complex,Future Prime Academy Complex,normalized_only,normalized_only
kwamanman rural bank ltd,kwamanman rural bank,manual_map,fuzzy_confirmed
shs,senior high school,manual_map,fuzzy_confirmed
oheneba salvation prep sch,Oheneba Salvation Prep Sch,normalized_only,normalized_only
peter,Peter,normalized_only,normalized_only
biology,Biology,normalized_only,normalized_only
university of ghana,University Of Ghana,normalized_only,normalized_only
christlive in peace academy,Christlive In Peace Academy,normalized_only,normalized_only
weca,Weca,normalized_only,normalized_only
blinn,blinn college,normalized_only,fuzzy_confirmed
akuapem rural bank ltd,akuapem rural bank,manual_map,fuzzy_confirmed
university of west georgia,University Of West Georgia,normalized_only,normalized_only
south dakota state university,South Dakota State University,normalized_only,normalized_only
education,Education,normalized_only,normalized_only
bosome freho rural bank ltd,bosome freho rural bank,manual_map,fuzzy_confirmed
oyibi area rural bank ltd,Oyibi Area Rural Bank Ltd,normalized_only,normalized_only
mawuli,Mawuli,normalized_only,normalized_only
knowledge hill school,Knowledge Hill School,normalized_only,normalized_only
jomoro rural bank limited,jomoro rural bank,manual_map,fuzzy_confirmed
university of health and allied sciences,University Of Health And Allied Sciences,normalized_only,normalized_only
fiagya rural bank limited,fiagya rural bank,manual_map,fuzzy_confirmed
asebu oxford academy,Asebu Oxford Academy,normalized_only,normalized_only
university of rhoad island,University Of Rhoad Island,normalized_only,normalized_only
resurrection presby school,Resurrection Presby School,normalized_only,normalized_only
dallas college,dallas community college,normalized_only,fuzzy_confirmed
creator school,Creator School,normalized_only,normalized_only
dumpong rural bank limited,dumpong rural bank,manual_map,fuzzy_confirmed
secondary school,senior high school,manual_map,fuzzy_confirmed
nii kojo,Nii Kojo,normalized_only,normalized_only
happy home international school,Happy Home International School,normalized_only,normalized_only
nagies angels educational centre,Nagies Angels Educational Centre,normalized_only,normalized_only
abokobi area rural bank ltd,Abokobi Area Rural Bank Ltd,normalized_only,normalized_only
tizaa rural bank ltd,Tizaa Rural Bank Ltd,normalized_only,normalized_only
blinn college,blinn college,normalized_only,fuzzy_confirmed
nkoranman rural bank ltd,nkoranman rural bank,manual_map,fuzzy_confirmed
cardinal dery memorial academy,Cardinal Dery Memorial Academy,normalized_only,normalized_only
akim oda,Akim Oda,normalized_only,normalized_only
web3,Web3,normalized_only,normalized_only
kwahu praso rural bank limited,kwahu praso rural bank,manual_map,fuzzy_confirmed
bessfa rural bank ltd,bessfa rural bank,manual_map,fuzzy_confirmed
odupongkpehe rural bank,odupongkpehe rural bank,manual_map,fuzzy_confirmed
sgpa,Sgpa,normalized_only,normalized_only
ghana education service,Ghana Education Service,normalized_only,normalized_only
ahantaman rural bank ltd,ahantaman rural bank,manual_map,fuzzy_confirmed
nkoranza kwabre rural bank ltd,nkoranza kwabre rural bank,manual_map,fuzzy_confirmed
grace provider academy,Grace Provider Academy,normalized_only,normalized_only
noor muhammad international academy complex,Noor Muhammad International Academy Complex,normalized_only,normalized_only
atiwa rural bank ltd,atiwa rural bank,manual_map,fuzzy_confirmed
prima academy,Prima Academy,normalized_only,normalized_only
wamfie rural bank plc,wamfie rural bank,manual_map,fuzzy_confirmed
asutifi rural bank ltd,asutifi rural bank,manual_map,fuzzy_confirmed
atwima kwanwoma rural bank ltd,atwima kwanwoma rural bank,manual_map,fuzzy_confirmed
brakwa breman rural bank ltd,Brakwa Breman Rural Bank Ltd,normalized_only,normalized_only
star life assurance limited,starlife assurance,manual_map,fuzzy_confirmed
greenwich meridian presbyterian schools,Greenwich Meridian Presbyterian Schools,normalized_only,normalized_only
mepe area rural bank limited,mepe area rural bank,manual_map,fuzzy_confirmed
jade hochschule,Jade Hochschule,normalized_only,normalized_only
self,Self,normalized_only,normalized_only
university of education winneba,University Of Education Winneba,normalized_only,normalized_only
